"date","sales","sum(DOLLARS)","average(feature   = A)","average(feature   = A+)","average(feature   = B)","average(feature   = C)","average(disp = 0)","average(disp = 1)","average(disp = 2)","average(disc = 0)"
5/24/92 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/31/92 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/7/92 12:00 AM,2.0,1.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/14/92 12:00 AM,5.0,3.3000000000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/21/92 12:00 AM,2.0,1.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/28/92 12:00 AM,9.0,5.94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/5/92 12:00 AM,7.0,4.62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/12/92 12:00 AM,1.0,0.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/19/92 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/26/92 12:00 AM,18.0,11.88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/2/92 12:00 AM,5.0,3.3000000000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/9/92 12:00 AM,11.0,7.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/16/92 12:00 AM,24.0,15.840000000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/23/92 12:00 AM,3.0,1.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/30/92 12:00 AM,13.0,8.450000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/6/92 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/13/92 12:00 AM,12.0,7.800000000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/20/92 12:00 AM,3.0,1.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/27/92 12:00 AM,7.0,4.62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/4/92 12:00 AM,1.0,0.63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/11/92 12:00 AM,7.0,4.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/18/92 12:00 AM,2.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/25/92 12:00 AM,3.0,1.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/1/92 12:00 AM,4.0,2.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/8/92 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/15/92 12:00 AM,10.0,6.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/22/92 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/29/92 12:00 AM,6.0,3.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/6/92 12:00 AM,6.0,3.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/13/92 12:00 AM,4.0,2.64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/20/92 12:00 AM,4.0,1.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/27/92 12:00 AM,6.0,3.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/3/93 12:00 AM,11.0,7.26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/10/93 12:00 AM,16.0,10.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/17/93 12:00 AM,5.0,3.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/24/93 12:00 AM,15.0,11.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/31/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/7/93 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/14/93 12:00 AM,15.0,11.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/21/93 12:00 AM,1.0,0.59,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/28/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/7/93 12:00 AM,7.0,5.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/14/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/21/93 12:00 AM,5.0,3.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/28/93 12:00 AM,11.0,8.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/4/93 12:00 AM,10.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/11/93 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/18/93 12:00 AM,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/25/93 12:00 AM,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/2/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/9/93 12:00 AM,3.0,2.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/16/93 12:00 AM,8.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/23/93 12:00 AM,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/30/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/6/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/13/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/20/93 12:00 AM,2.0,1.48,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/27/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/4/93 12:00 AM,1.0,0.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/11/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/18/93 12:00 AM,2.0,1.48,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/25/93 12:00 AM,7.0,5.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/1/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/8/93 12:00 AM,13.0,9.62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/15/93 12:00 AM,2.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/22/93 12:00 AM,3.0,2.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/29/93 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/5/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/12/93 12:00 AM,1.0,0.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/19/93 12:00 AM,5.0,3.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/26/93 12:00 AM,7.0,5.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/3/93 12:00 AM,5.0,3.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/10/93 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/17/93 12:00 AM,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/24/93 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/31/93 12:00 AM,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/7/93 12:00 AM,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/14/93 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/21/93 12:00 AM,3.0,2.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/28/93 12:00 AM,12.0,4.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/5/93 12:00 AM,6.0,4.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/12/93 12:00 AM,17.0,8.330000000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/19/93 12:00 AM,2.0,1.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
12/26/93 12:00 AM,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/2/94 12:00 AM,2.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/9/94 12:00 AM,3.0,2.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/16/94 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/23/94 12:00 AM,1.0,0.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/30/94 12:00 AM,3.0,2.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/6/94 12:00 AM,2.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/13/94 12:00 AM,3.0,1.47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/20/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/27/94 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/6/94 12:00 AM,5.0,3.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/13/94 12:00 AM,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/20/94 12:00 AM,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/27/94 12:00 AM,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/3/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/10/94 12:00 AM,7.0,5.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/17/94 12:00 AM,2.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/24/94 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/1/94 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/8/94 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/15/94 12:00 AM,2.0,1.48,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/22/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/29/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/5/94 12:00 AM,2.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/12/94 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/19/94 12:00 AM,2.0,1.18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6/26/94 12:00 AM,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/3/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/10/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/17/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/24/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7/31/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/7/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/14/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/21/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8/28/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/4/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/11/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/18/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9/25/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/2/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/9/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/16/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/23/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10/30/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/6/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/13/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/20/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11/27/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/4/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/11/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/18/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12/25/94 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/1/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/8/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/15/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/22/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1/29/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/5/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/12/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/19/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2/26/95 12:00 AM,1.0,0.79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/5/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/12/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/19/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3/26/95 12:00 AM,5.0,3.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/2/95 12:00 AM,1.0,0.79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/9/95 12:00 AM,2.0,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/16/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/23/95 12:00 AM,2.0,1.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4/30/95 12:00 AM,3.0,2.37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/7/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5/14/95 12:00 AM,5.7975460122699385,3.7614110429447862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
